PO;Year;Littering;Vandalism;Drunken people. outdoors;People under the influence of drugs. outdoors;Residences. hangouts for alcohol abusers;Residences. hangouts for drug abusers;People arguing and fighting. outdoors;Women being assaulted;Youth gangs arguing and disturbing the peace;Cars driving too fast;Bus driving with mopeds. motorbikes;Traffic rules not respected;Proportion perceived at least one problem;In the last 12 months been subjected to physical violence;Victimized by theft;Victimized by vandalism;Proportion subjected to at least one mass crime;That you were worried about burglary in your home;That you were worried about burglary in your storage room;Worried about your car. motorbike. moped or bicycle;Worried about being assaulted/abused in area;Proportion worried about some type of crime;Safe out alone late at night;Unsafe out alone late at night;Afraid of specific people in own residential area;Restaurant. bar or disco;Sporting events;Association meetings. courses and the like;Riding the bus or train;Proportion abstained from some type of activity;The police care about local problems;The police do NOT care about local problems;Relationship quota;Proportion not subjected to any crime whatsoever;Reporting rate;Victimized by fraud;Victimized by threats;Residents would NOT act in the event of a fight;Weak cohesion in the residential area;Nearly drug sales observed in the area
Kalmar Kronoberg;2022;33.13;27.27;14.01;12.52;7.45;8.54;10.47;8.02;17.21;44.27;19.34;20.93;69.15;0.83;6.36;5.44;10.55;44.55;45.93;47.82;21.6;64.95;65.2;22.74;8.77;5.93;2.11;2.14;8.16;11.4;46.71;10.86;23.26;79.23;32.28;3.9;3.59;16.11;10.32;6.12
Kalmar Kronoberg;2021;32.84;26.09;13.33;11.86;7.1;7.95;8.99;7.38;16.63;46.05;20.02;21;68.85;0.78;7.2;5.22;11.19;45.98;48.27;49.68;23.29;67.04;63.24;23.64;8.66;5.68;2.05;2.21;7.87;11.03;46.85;10.43;22.26;79.16;35.42;3.84;3.62;16.24;10.6;5.92
Kalmar Kronoberg;2020_2;32.25;27.02;13.86;11.29;6.71;7.59;10;7.25;17.95;48.83;21.99;23.99;69.82;1.09;7.28;6.17;11.88;47.54;48.53;49.83;24.06;66.65;61.49;24.25;9.35;5.98;2.34;2.37;8.03;11.48;45.96;10.79;23.47;77.98;34.55;3.91;3.75;17.35;11.16;4.68
Kalmar Kronoberg;2019;31.81;25.43;13.06;10.86;7.11;7.56;8.74;8.01;15.58;48.57;20.6;23.33;70.3;1.01;7.04;5.68;11.35;48.25;48.19;48.43;21.69;66.89;66.76;21.72;9;5.3;2.5;2.13;6.95;10.59;44.52;11.83;26.56;78.66;34.88;4.05;4.09;15.53;10.4;
Kalmar Kronoberg;2018;32.25;25.21;13.77;10.09;6.63;6.73;9.23;8.52;15.37;47.4;19.96;23.45;69.31;1.06;7.8;5.33;11.87;52.29;50.44;49.07;23.31;68.54;65.36;23.09;8.7;5.58;2.39;2.13;7.35;10.97;43.41;12.48;28.74;77.77;33.15;4.52;4.32;15.37;10.2;
Kalmar Kronoberg;2017;29.58;23.85;13.5;9.86;6.68;6.19;8.87;8.44;14.34;47.57;18.99;23.22;68.8;1.03;7.97;5.79;12.02;54.07;52.26;51.7;25.34;70.54;63.51;24.29;8.84;5.8;2.6;2.05;7.54;11.28;42.11;13.21;31.38;78.09;36.15;4.26;3.82;15.91;10.08;
Kalmar Kronoberg;2016_2;26.55;22.96;12.11;8.06;6.08;5.62;8.65;8.61;13.85;45.99;17.25;22.82;66.61;1.08;7.39;6.46;12.35;54.93;52.87;51.42;25.28;71.44;62.42;25.06;9.21;5.11;2.63;2.2;7.66;11;38.06;15.2;39.94;78.66;34.61;4.81;3.73;;;
Kalmar Kronoberg;2015;24.07;22.31;12.05;7.96;6.11;5.61;7.3;5.98;12.77;44.6;15.95;20.26;65.45;0.91;7.74;5.66;11.78;55.67;53.13;51.74;22.59;72.07;65.87;21.56;8.03;4.46;2.41;2.08;5.84;9.14;42.41;11.64;27.43;78.21;38.36;3.98;3.4;;;
Kalmar Kronoberg;2014;24.76;20.2;11.82;6.05;5.63;4.65;6.12;3.94;10.43;45.56;17.2;19.67;64.3;0.91;7.39;5.3;11.82;48.02;45.47;45.5;16.69;64.82;71.28;16.39;7.45;2.82;1.2;1.36;3.34;6.08;40.73;12.3;30.2;78.5;39.95;3.58;3.79;;;
Kalmar Kronoberg;2012;25.88;24.83;13.96;7.84;6.72;5.78;7.47;4.72;12.84;44.84;18.37;19.2;66.25;0.77;8.62;6.39;13.47;53.02;50.87;49.36;17.7;69.94;70.98;16.95;6.78;3.19;1.48;1.36;3.77;7.13;42.57;12.96;30.44;76.98;41.25;;;;;
Kalmar Kronoberg;2010;26.92;26.79;14.9;7.66;6.57;5.54;8.47;5.49;15.04;46.17;24.76;21.04;69.61;1.59;10.06;7.45;15.9;52.52;48.87;50.51;19.91;70.33;68.17;19.38;7.75;3.34;1.14;1.56;4.41;7.24;42.19;12.29;29.12;74.78;38.54;;;;;
Kalmar Kronoberg;2009;25.62;27.41;16.6;9.21;8.52;7.16;9.45;6.11;15.8;47.11;28.17;21.29;69.23;1.99;8.91;7.78;15.54;46.9;45.36;48.14;15.75;64.52;71.83;14.96;6.8;4.27;0.96;1.28;2.93;6.98;40.68;13.05;32.08;76.06;31.94;;;;;
Kalmar Kronoberg;2008;28.95;31.02;15.01;8.04;7.27;6.33;9.73;6.46;19.04;47.7;31.73;22.15;72.65;1.78;11.46;10.01;18.69;47.58;43.46;49.95;17.56;66.72;69.9;16.79;7.56;3.7;0.89;1.17;2.88;6.22;39.88;13.55;33.98;;;;;;;
Kalmar Kronoberg;2006*;28.32;26.68;14.29;7.01;6.77;5.52;8.51;5.76;16.05;48.6;30.99;21.4;72.53;2.14;12.69;10.24;20.26;48.2;44.26;53.25;19.63;68.89;66.97;18.81;6.3;3.77;0.72;1.08;2.62;6.2;35.72;13.62;38.14;;;;;;;
Kalmar Kronoberg;2005;26.04;28.77;15.98;8.33;7.32;5.85;8.97;5.94;15.37;47.11;28.9;19.76;71.19;2.55;14.8;11.51;22.6;50.94;47.35;53.66;18.82;70.08;69.59;17.79;6.97;4.33;1.1;1.16;2.81;6.87;38.34;15.74;41.05;;;;;;;
